City_ID,City,Max Temp,Current Description,Lat,Lng,Hotel Name
462,Puerto Leguizamo,79.52,overcast clouds,-0.1934,-74.7819,la casona de juancho
463,Vanimo,82.85,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
465,General Roca,77.4,overcast clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
467,Kavieng,82.49,light rain,-2.5744,150.7967,Nusa Island Retreat
469,Lufilufi,83.98,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
477,Campoverde,78.49,moderate rain,-8.4753,-74.8058,Hospedaje Coral's
488,Mogadishu,76.24,few clouds,2.0371,45.3438,Hotel Juba
492,Tamandare,79.79,few clouds,-8.7597,-35.1047,Pousada 100 Passos
494,Pemangkat,78.22,overcast clouds,1.1667,108.9667,Ramah Kost KITA
495,Kota Kinabalu,76.98,few clouds,5.9749,116.0724,Gaya Centre Hotel
497,Padang,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
501,Belmonte,79.3,broken clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
504,Quepos,81.7,broken clouds,9.4236,-84.1652,Jungle Beach Hotel at Manuel Antonio
507,Prado,77.16,moderate rain,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
509,Ewa Beach,82.35,overcast clouds,21.3156,-158.0072,Uncle Junior Robert
512,Soyo,77.9,overcast clouds,-6.1349,12.3689,Hotel Mpampa
532,Cayenne,79.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
533,Byron Bay,80.55,overcast clouds,-28.65,153.6167,Backpackers Inn
534,Galle,76.46,overcast clouds,6.0367,80.217,Amangalla
539,Port Blair,75.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
540,Sao Jose Da Coroa Grande,79.9,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
544,Baturaja,76.66,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
550,Grand Gaube,79.2,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
554,Ngunguru,77.16,clear sky,-35.6167,174.5,Pacific Rendezvous Motel Resort
557,Nelson Bay,75.69,overcast clouds,-32.7167,152.15,Mantra Nelson Bay
563,Port-Gentil,80.38,light rain,-0.7193,8.7815,Fengshui Residence
570,Sao Filipe,77.52,overcast clouds,14.8961,-24.4956,Hotel Xaguate
572,Oranjestad,78.51,overcast clouds,12.524,-70.027,Divi Village Golf & Beach Resort
573,Karangasem,83.28,overcast clouds,-8.45,115.6167,Villa Campuhan
576,Auki,84.99,overcast clouds,-8.7676,160.7034,Auki Motel
579,Charlestown,75.72,broken clouds,-32.95,151.6667,Panorama Motor Inn Hotel
581,Inverell,79.66,clear sky,-29.7833,151.1167,Sapphire City Motor Inn
584,Samarai,82.38,few clouds,-10.6167,150.6667,Nuli Sapi
589,Gorontalo,79.25,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
596,Benguela,75.38,broken clouds,-12.5763,13.4055,Hotel Praia Morena
600,Natal,81.25,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
601,Salinopolis,78.3,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
602,San Ramon,75.38,clear sky,37.7799,-121.978,San Ramon Marriott
608,Waingapu,82.29,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
614,Tabuk,75.94,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
625,San Francisco,75.88,few clouds,37.7749,-122.4194,The Clift Royal Sonesta Hotel
636,Inirida,77.16,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
649,Meulaboh,77.14,overcast clouds,4.1363,96.1285,Kost Pria
654,Bambous Virieux,79.05,moderate rain,-20.3428,57.7575,Casa Tia Villa
655,Puerto Escondido,81.43,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
656,Muli,80.38,overcast clouds,2.9167,73.5667,Medhufushi Island Resort
661,Pacifica,77.25,few clouds,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
668,Villa Altagracia,75.11,clear sky,18.673,-70.171,La Maison de AAVA
670,Dhidhdhoo,81.25,overcast clouds,6.8833,73.1,Dhidhoo beach
671,Half Moon Bay,77.58,few clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
672,Ballina,78.98,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
678,Acarau,78.55,scattered clouds,-2.8856,-40.12,castelo pizzaria
694,Marsh Harbour,75.07,clear sky,26.5412,-77.0636,Abaco Beach Resort
695,Flinders,78.06,scattered clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
697,Moerai,79.25,moderate rain,-22.4333,-151.3333,Le Manotel
709,Bodden Town,79.0,few clouds,19.2833,-81.25,Will T Place
