City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Talnakh,69.4865,88.3972,-8.52,75,15,9.75,few clouds
128,Pisco,-13.7,-76.2167,69.85,78,0,11.5,clear sky
129,Turje,46.9837,17.1074,34.5,75,3,6.22,clear sky
130,Ca Mau,9.1769,105.15,82.11,69,55,13.58,broken clouds
131,East London,-33.0153,27.9116,75.09,86,20,2.66,few clouds
132,Kijang,35.2442,129.2139,47.12,69,100,11.01,overcast clouds
133,Cairns,-16.9167,145.7667,89.11,59,40,18.41,scattered clouds
134,Luderitz,-26.6481,15.1594,72.63,67,4,10.94,clear sky
135,Catuday,16.2923,119.8062,79.39,66,83,11.14,broken clouds
136,Khatanga,71.9667,102.5,-18.24,89,71,2.71,broken clouds
137,Grindavik,63.8424,-22.4338,23.47,74,0,8.05,clear sky
138,Vila Velha,-20.3297,-40.2925,75.15,94,75,2.3,light rain
139,Tuktoyaktuk,69.4541,-133.0374,-32.78,98,17,0.65,few clouds
140,Penzance,50.1186,-5.5371,51.01,89,100,30.0,overcast clouds
141,Puerto Ayora,-0.7393,-90.3518,74.55,94,47,6.29,scattered clouds
142,Kharian,32.8149,73.8636,49.35,61,92,0.87,overcast clouds
143,Inhambane,-23.865,35.3833,74.5,76,61,7.81,broken clouds
144,Kavaratti,10.5669,72.642,80.56,70,5,4.65,clear sky
145,Hualmay,-11.0964,-77.6139,71.1,79,89,7.9,overcast clouds
146,Sandusky,41.3501,-83.1332,24.94,67,100,3.0,overcast clouds
147,Kintinku,-5.8833,35.2333,66.76,97,100,1.34,light rain
148,Torbay,47.6666,-52.7314,46.27,77,100,5.01,overcast clouds
149,Koumac,-20.5667,164.2833,85.21,64,100,4.76,overcast clouds
150,Bireun,5.203,96.7009,77.0,76,33,4.99,scattered clouds
151,Tessalit,20.1986,1.0114,63.34,15,7,5.75,clear sky
152,Broome,42.2506,-75.833,31.21,75,100,16.11,overcast clouds
153,Ankpa,7.3706,7.6253,73.53,18,57,4.74,broken clouds
154,Bontang,0.1333,117.5,76.5,86,100,3.78,overcast clouds
155,Poso,-1.3959,120.7524,79.75,80,99,1.25,overcast clouds
156,Prince Rupert,54.3161,-130.3201,42.21,88,100,5.7,overcast clouds
157,Cape Town,-33.9258,18.4232,69.89,76,81,1.99,broken clouds
158,Peleduy,59.6289,112.7406,-26.12,100,95,1.79,overcast clouds
159,Sioux Lookout,50.1001,-91.917,-15.07,96,100,2.39,overcast clouds
160,Burnie,-41.0667,145.9167,65.95,75,100,13.24,overcast clouds
161,Chuy,-33.6971,-53.4616,67.42,94,100,10.58,overcast clouds
162,Varkkallai,8.7341,76.7067,78.58,83,96,5.64,overcast clouds
163,Pemberton,50.3164,-122.8027,38.73,92,100,0.78,overcast clouds
164,Saldanha,-33.0117,17.9442,65.61,90,82,15.39,broken clouds
165,Impfondo,1.6381,18.0667,72.19,35,24,1.57,few clouds
166,Moosomin,50.1333,-101.6677,-14.98,98,5,4.7,clear sky
167,Faanui,-16.4833,-151.75,80.44,75,82,9.71,light rain
168,Tiksi,71.6872,128.8694,-7.17,88,100,15.46,overcast clouds
169,Hirara,24.8,125.2833,66.47,94,75,8.05,broken clouds
170,West Wendover,40.7391,-114.0733,41.65,58,0,1.52,clear sky
171,Fortuna,40.5982,-124.1573,66.18,81,0,5.75,clear sky
172,Corozal,9.3151,-75.2928,77.79,77,4,10.6,clear sky
173,Kumluca,36.3703,30.2869,52.79,72,94,3.74,overcast clouds
174,Antofagasta,-23.65,-70.4,67.28,81,15,5.68,few clouds
175,Borogontsy,62.6683,131.1683,-20.92,95,100,1.39,overcast clouds
176,Ovsyanka,55.9575,92.5519,-16.78,100,98,2.3,overcast clouds
177,Presidente Dutra,-5.29,-44.49,73.9,96,96,2.64,overcast clouds
178,Egvekinot,66.3167,-179.1667,-15.97,87,11,6.4,few clouds
179,Kazanskaya,45.4106,40.4361,35.67,80,92,12.88,overcast clouds
180,Bredasdorp,-34.5322,20.0403,69.28,82,97,1.36,overcast clouds
181,Trinidad,-14.8333,-64.9,72.12,97,100,6.13,overcast clouds
182,Christchurch,-43.5333,172.6333,54.95,86,75,12.66,broken clouds
183,Forecariah,9.4306,-13.0881,80.46,88,0,3.44,clear sky
184,Port Elizabeth,-33.918,25.5701,73.89,95,98,12.88,overcast clouds
185,Tyup,42.7276,78.3648,23.23,90,100,3.69,overcast clouds
186,Kamaishi,39.2667,141.8833,37.74,55,100,6.62,overcast clouds
187,Ahipara,-35.1667,173.1667,71.1,67,48,18.32,scattered clouds
188,Amuntai,-2.4177,115.2494,75.52,87,100,2.46,overcast clouds
189,Leningradskiy,69.3833,178.4167,-17.21,95,92,4.27,overcast clouds
190,Wanning,18.8003,110.3967,71.69,73,98,6.82,overcast clouds
191,Qarchi Gak,37.04,66.7889,39.29,56,82,11.41,broken clouds
192,Elizabeth City,36.2946,-76.2511,60.85,61,0,9.22,clear sky
193,Tahta,26.7693,31.5021,55.27,36,0,4.07,clear sky
194,Skjervoy,70.0311,20.9714,27.16,56,5,14.47,clear sky
195,Narsaq,60.9167,-46.05,30.42,96,100,7.2,light snow
196,Vao,-22.6667,167.4833,80.74,77,94,4.12,overcast clouds
